30,30,0
24,24,0
29,29,0
29,29,0
32,32,0
21,21,0
23,23,0
29,29,0
22,22,0
26,26,0
25,25,0
26,26,0
23,23,0
25,25,0
34,34,0
32,32,0
27,27,0
28,28,0
20,20,0
26,26,0
15,15,0
21,21,0
20,20,0
29,29,0
20,20,0
24,24,0
19,19,0
19,19,0
42,42,0
21,21,0
25,25,0
30,30,0
26,26,0
22,22,0
27,27,0
25,25,0
25,25,0
35,35,0
22,22,0
29,29,0
25,25,0
29,29,0
24,24,0
31,31,0
22,22,0
23,23,0
29,29,0
32,32,0
18,18,0
33,33,0
25,25,0
18,18,0
21,21,0
27,27,0
31,31,0
23,23,0
18,18,0
15,15,0
24,24,0
18,18,0
21,21,0
35,35,0
32,32,0
30,30,0
22,22,0
25,25,0
23,23,0
28,28,0
25,25,0
27,27,0
25,25,0
17,17,0
24,24,0
33,33,0
33,33,0
28,28,0
22,22,0
28,28,0
27,27,0
23,23,0
27,27,0
20,20,0
24,24,0
31,31,0
30,30,0
23,23,0
21,21,0
31,31,0
23,23,0
27,27,0
34,34,0
26,26,0
27,27,0
30,30,0
24,24,0
32,32,0
24,24,0
29,29,0
27,27,0
32,32,0
25,25,0
21,21,0
34,34,0
32,32,0
20,20,0
31,31,0
27,27,0
24,24,0
26,26,0
22,22,0
29,29,0
22,22,0
24,24,0
21,21,0
21,21,0
22,22,0
26,26,0
24,24,0
20,20,0
32,32,0
37,37,0
37,37,0
45,45,0
50,50,0
60,60,0
55,61,0
48,55,0
43,44,0
49,49,0
43,43,0
41,41,0
40,40,0
46,46,0
40,40,0
38,38,0
49,49,0
37,37,0
50,50,0
38,38,0
49,49,0
36,36,0
56,56,0
34,36,0
45,45,0
39,39,0
40,40,0
51,51,0
49,49,0
48,48,0
58,58,0
47,51,0
50,50,0
36,36,0
38,38,0
45,45,0
36,36,0
35,35,0
39,39,0
44,44,0
51,51,0
46,46,0
50,50,0
34,34,0
38,38,0
77,77,0
39,62,0
53,61,0
37,44,0
65,65,0
35,46,0
53,53,0
35,35,0
28,28,0
55,55,0
46,47,0
39,39,0
38,38,0
43,43,0
54,54,0
51,51,0
42,42,0
46,46,0
46,46,0
44,44,0
48,48,0
37,37,0
45,45,0
50,50,0
41,41,0
62,62,0
46,54,0
53,53,0
49,49,0
47,47,0
33,33,0
49,49,0
51,51,0
55,55,0
53,54,0
51,51,0
59,59,0
49,54,0
54,54,0
60,60,0
48,54,0
45,45,0
38,38,0
51,51,0
53,53,0
36,36,0
47,47,0
40,40,0
47,47,0
40,40,0
48,48,0
42,42,0
42,42,0
40,40,0
35,35,0
47,47,0
40,40,0
47,47,0
45,45,0
58,58,0
41,45,0
46,46,0
49,49,0
37,37,0
44,44,0
46,46,0
56,56,0
44,46,0
42,42,0
52,52,0
44,44,0
28,28,0
42,42,0
47,47,0
51,51,0
40,40,0
48,48,0
45,45,0
45,45,0
41,41,0
49,49,0
39,39,0
47,47,0
34,34,0
43,43,0
48,48,0
48,48,0
47,47,0
